0 2070000
3.65 1.7 0.645 0.47
3.65 1.5 0.645 0.47
3.2 0.95 0.655 0.47
3.6 1.1 0.645 0.47
3.9 2 0.56 0.57
3.7 1.5 0.585 0.57
3.25 1.55 0.595 0.57
3.2 1.6 0.58 0.57
2.05 1.4 0.595 0.57
2.9 1.2 0.605 0.57
2.85 1 0.61 0.57
2.25 2.15 0.54 0.57
2.05 1.7 0.56 0.57
2.25 2.45 0.51 0.57
2.1 3.6 0.475 0.57
1.95 4.15 0.48 0.57
2.05 4.9 0.465 0.57
1.65 5.3 0.46 0.57
3.4 5.15 0.465 0.57
1.7 5 0.47 0.57
2.6 4.55 0.51 0.57
1.3 3.15 0.67 0.57
1.05 2.75 0.695 0.57
1.2 2.4 0.71 0.57
1.2 2.35 0.705 0.57
1.35 2.15 0.71 0.57
0.45 2.2 0.69 0.57
1.3 1.75 0.72 0.57
1.85 1.8 0.71 0.47
0.85 2.1 0.675 0.47
0.85 1.55 0.69 0.47
1.15 1.9 0.67 0.47
1.25 1.7 0.71 0.47
1.6 0.3 0.745 0.47
1.2 0.7 0.765 0.47
1.55 0.2 0.76 0.47
0.85 0.25 0.735 0.47
0.9 0.7 0.715 0.47
0.5 2.15 0.68 0.47
2.45 3.35 0.65 0.47
2.6 4.3 0.615 0.47
2.55 5.15 0.58 0.47
2.55 5.1 0.57 0.47
2.7 4.45 0.62 0.47
0.7 3.7 0.645 0.47
2.15 3.05 0.675 0.47
3.4 3.3 0.675 0.47
2.6 3.2 0.675 0.47
3.15 3.15 0.7 0.47
3.55 3.6 0.675 0.47
3.9 4.1 0.67 0.47
3.05 4.35 0.64 0.47
2.55 4.5 0.635 0.60
2.45 2.65 0.535 0.60
1.8 2.05 0.55 0.60
2.45 3.05 0.515 0.60
3.3 3.5 0.5 0.60
5.4 2.4 0.575 0.60
4.35 2.8 0.57 0.60
4.6 5.15 0.49 0.60
5 5.4 0.495 0.60
6.8 5.7 0.485 0.60
8.1 6.1 0.475 0.60
7.55 6.55 0.465 0.60
7.7 6.9 0.475 0.60
7.85 7.4 0.455 0.60
5.3 2.75 0.445 0.60
6.45 2.8 0.46 0.60
6.4 3.05 0.455 0.60
6.4 2.5 0.485 0.60
5.35 2.1 0.505 0.60
5.3 7.2 0.5 0.60
4.7 2.35 0.495 0.60
3.1 6.7 0.52 0.60
3 2.1 0.505 0.60
4.2 2.05 0.505 0.60
3.05 6.6 0.515 0.54
2.7 4.7 0.575 0.54
1.95 4.65 0.57 0.54
3.65 4.2 0.58 0.54
3.8 4.25 0.585 0.54
3.85 3.6 0.63 0.54
3.4 3 0.63 0.54
3.25 3.45 0.63 0.54
3 3.2 0.64 0.54
3.45 4.65 0.565 0.54
5.45 7.4 0.47 0.54
5.95 2.95 0.45 0.54
3.85 3.65 0.445 0.54
4.5 4.2 0.44 0.54
4.8 4.55 0.43 0.54
3.85 3.4 0.5 0.54
4.3 3.8 0.44 0.54
4.95 3.25 0.425 0.54
4.3 2.65 0.435 0.54
